file|name|version|package|confidence|size_mb|methods_used
Overcrowded Dungeons v1.0.0 (1).ipa|Overcrowded Dungeons|1.0.0|com.zeptolab.overcrowded-dungeons|4|51.51|main_plist, plutil
Overcrowded Dungeons v1.0.0 (4).ipa|Overcrowded Dungeons|1.0.0|com.zeptolab.overcrowded-dungeons|4|51.5|main_plist, plutil
Overcrowded Dungeons v1.0.0 (3).ipa|Overcrowded Dungeons|1.0.0|com.zeptolab.overcrowded-dungeons|4|51.5|main_plist, plutil
Overcrowded Dungeons v1.0.0.ipa|Overcrowded Dungeons|1.0.0|com.zeptolab.overcrowded-dungeons|4|51.51|main_plist, plutil
Overcrowded Dungeons v1.0.0 (1).apk|Overcrowded Dungeons|1.0.0|com.zeptolab.overcrowdeddungeons|3|42.92|aapt, aapt_resources, manifest
Neon Merge Guards v0.1.1.apk|Neon Merge Guards|0.1.1|com.zeptolab.circledefender|3|105.88|aapt, aapt_resources, manifest
Overcrowded Dungeons v1.0.0.apk|Overcrowded Dungeons|1.0.0|com.zeptolab.overcrowdeddungeons|3|42.92|aapt, aapt_resources, manifest
Place Your People v1.0.0 (1).apk|Place Your People|1.0.0|com.zeptolab.placeyourpeople|3|167.46|aapt, aapt_resources, manifest
Place Your People v1.0.0 (1).ipa|Place Your People|1.0.0|com.zeptolab.placeyourpeople|4|94.84|main_plist, plutil
Place Your People v1.0.0 (2).ipa|Place Your People|1.0.0|com.zeptolab.placeyourpeople|4|96.96|main_plist, plutil
Place Your People v1.0.0 (3).ipa|Place Your People|1.0.0|com.zeptolab.placeyourpeople|4|97.01|main_plist, plutil
Place Your People v1.0.0 (2).apk|Place Your People|1.0.0|com.zeptolab.placeyourpeople|3|167.48|aapt, aapt_resources, manifest
Overcrowded_ Airplane v0.9.2.apk|Overcrowded: Airplane|0.9.2|com.zeptolab.idleplane|3|136.76|aapt, aapt_resources, manifest
Place Your People v1.0.0.apk|Place Your People|1.0.0|com.zeptolab.placeyourpeople|3|157.44|aapt, aapt_resources, manifest
Place Your People v1.0.0.ipa|Place Your People|1.0.0|com.zeptolab.placeyourpeople|4|92.53|main_plist, plutil
RollingOut v1.0.0.apk|RollingOut|1.0.0|com.zeptolab.rollingout|3|122.45|aapt, aapt_resources, manifest
RollingOut v1.0.0.ipa|RollingOut|1.0.0|com.zeptolab.rollingout|4|62.43|main_plist, plutil, alt_plist_2, alt_plist_3
Snackdown v1.0 (1).ipa|Snackdown|1.0|com.zeptolab.snackdown|4|36.02|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
Snackdown v1.0.ipa|Snackdown|1.0|com.zeptolab.snackdown|4|36.02|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
Slide Fortress v0.1.0.apk|Slide Fortress|0.1.0|com.zeptolab.slidefortress|3|54.34|aapt, aapt_resources, manifest
Space Litter v1.0.0 (1).ipa|Space Litter|1.0.0|com.zeptolab.space-litter|4|63.97|main_plist, plutil, alt_plist_2
Space Litter v1.0.0 (1).apk|Space Litter|1.0.0|com.zeptolab.spacelitter|3|37.0|aapt, aapt_resources, manifest
Snackdown v1.0.apk|Snackdown|1.0|com.zeptolab.snackdown|3|58.59|aapt, aapt_resources, manifest
Space Litter v1.0.0 (10).ipa|Space Litter|1.0.0|com.zeptolab.space-litter|4|31.87|main_plist, plutil, alt_plist_2
Space Litter v1.0.0 (2).ipa|Space Litter|1.0.0|com.zeptolab.space-litter|4|63.97|main_plist, plutil, alt_plist_2
Space Litter v1.0.0 (3).ipa|Space Litter|1.0.0|com.zeptolab.space-litter|4|37.84|main_plist, plutil, alt_plist_2
Space Litter v1.0.0 (2).apk|Space Litter|1.0.0|com.zeptolab.spacelitter|3|36.95|aapt, aapt_resources, manifest
Space Litter v1.0.0 (3).apk|Space Litter|1.0.0|com.zeptolab.spacelitter|3|46.49|aapt, aapt_resources, manifest
Space Litter v1.0.0 (4).apk|Space Litter|1.0.0|com.zeptolab.spacelitter|3|52.98|aapt, aapt_resources, manifest
Space Litter v1.0.0 (4).ipa|Space Litter|1.0.0|com.zeptolab.space-litter|4|30.81|main_plist, plutil, alt_plist_2
Space Litter v1.0.0 (5).ipa|Space Litter|1.0.0|com.zeptolab.space-litter|4|25.4|main_plist, plutil, alt_plist_2
Space Litter v1.0.0 (5).apk|Space Litter|1.0.0|com.zeptolab.spacelitter|3|52.98|aapt, aapt_resources, manifest
Space Litter v1.0.0 (6).apk|Space Litter|1.0.0|com.zeptolab.spacelitter|3|52.98|aapt, aapt_resources, manifest
Space Litter v1.0.0 (6).ipa|Space Litter|1.0.0|com.zeptolab.space-litter|4|25.4|main_plist, plutil, alt_plist_2
Space Litter v1.0.0 (8).ipa|Space Litter|1.0.0|com.zeptolab.space-litter|4|31.87|main_plist, plutil, alt_plist_2
Space Litter v1.0.0 (7).ipa|Space Litter|1.0.0|com.zeptolab.space-litter|4|31.87|main_plist, plutil, alt_plist_2
Space Litter v1.0.0 (9).ipa|Space Litter|1.0.0|com.zeptolab.space-litter|4|31.87|main_plist, plutil, alt_plist_2
Space Litter v1.0.0.apk|Space Litter|1.0.0|com.zeptolab.spacelitter|3|50.92|aapt, aapt_resources, manifest
Space Litter v1.0.0.ipa|Space Litter|1.0.0|com.zeptolab.space-litter|4|63.65|main_plist, plutil, alt_plist_2
Steel Revolt v0.1.ipa|Steel Revolt|0.1|com.zeptolab.steel-revolt|4|116.61|main_plist, plutil, alt_plist_2, alt_plist_3
Stagecoach Caravan Defender v0.0.1.ipa|Stagecoach Caravan Defender|0.0.1|com.zeptolab.caravandefender|4|37.4|main_plist, plutil, alt_plist_2
Steel Revolt v1.0.apk|Steel Revolt|1.0|com.pantelisdev.betterthanyou|3|106.03|aapt, aapt_resources, manifest
